@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
12, 10, 4, 5, 6, 5, 12, 13, 6, 13, 12, True, True, True, True, 1, 2, 0, Stop
13, 10, 4, 5, 6, 5, 12, 13, 6, 13, 12, True, True, True, True, 0, 2, -1, East
13, 11, 4, 5, 6, 5, 12, 13, 6, 13, 12, True, True, True, True, 0, 1, -1, North
13, 12, 4, 5, 6, 5, 12, 13, 6, 7, 1, True, True, True, False, 0, -6, 199, North
13, 11, 4, 5, 6, 5, 12, 13, 6, 7, 1, True, True, True, False, 0, -5, -1, South
13, 10, 4, 5, 6, 5, 12, 13, 6, 7, 1, True, True, True, False, 0, -4, -1, South
13, 9, 4, 5, 6, 5, 12, 13, 6, 7, 1, True, True, True, False, 0, -3, -1, South
13, 8, 4, 5, 6, 5, 12, 13, 6, 7, 1, True, True, True, False, 0, -2, -1, South
13, 7, 4, 5, 6, 5, 12, 13, 6, 7, 1, True, True, True, False, 0, -1, -1, South
13, 6, 4, 5, 6, 5, 12, 5, 1, 7, 1, True, True, False, False, -8, 0, 199, South
12, 6, 4, 5, 6, 5, 12, 5, 1, 7, 1, True, True, False, False, -7, 0, -1, West
11, 6, 4, 5, 6, 5, 12, 5, 1, 7, 1, True, True, False, False, -6, 0, -1, West
10, 6, 4, 5, 6, 5, 12, 5, 1, 7, 1, True, True, False, False, -5, 0, -1, West
9, 6, 4, 5, 6, 5, 12, 5, 1, 7, 1, True, True, False, False, -4, 0, -1, West
8, 6, 4, 5, 6, 5, 12, 5, 1, 7, 1, True, True, False, False, -3, 0, -1, West
7, 6, 4, 5, 6, 5, 12, 5, 1, 7, 1, True, True, False, False, -2, 0, -1, West
6, 6, 4, 5, 6, 5, 12, 5, 1, 7, 1, True, True, False, False, -1, 0, -1, West
5, 6, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 6, 199, West
5, 7, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 5, -1, North
5, 8, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 4, -1, North
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, North
6, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, -1, 3, -1, East
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, West
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
6, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, -1, 3, -1, East
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, West
6, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, -1, 3, -1, East
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, West
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
6, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, -1, 3, -1, East
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, West
6, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, -1, 3, -1, East
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, West
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
5, 8, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 4, -1, South
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, North
6, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, -1, 3, -1, East
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, West
