@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute muro_x {True,False}
@attribute muro_y {True,False}
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
12, 10, 4, 5, 6, 5, 12, 13, 6, 13, 12, True, True, True, True, 1, 2, False, False, 0, Stop
13, 10, 4, 4, 6, 5, 12, 12, 6, 13, 12, True, True, True, True, 0, 2, False, False, -1, East
13, 11, 4, 5, 6, 4, 12, 13, 6, 13, 12, True, True, True, True, 0, 1, False, False, -1, North
13, 12, 4, 6, 6, 5, 12, 13, 7, 13, 13, True, True, True, True, 0, 1, False, False, -1, North
13, 13, 4, 7, 6, 4, 12, 13, 7, 12, 13, True, True, True, True, -1, 0, False, False, -1, North
12, 13, 4, 7, 6, 4, 13, 12, 7, 12, 14, True, True, True, False, 0, -6, False, False, 199, West
12, 12, 4, 7, 6, 5, 13, 11, 7, 7, 1, True, True, True, False, -1, -5, False, False, -1, South
11, 12, 4, 7, 5, 5, 12, 11, 7, 7, 1, True, True, True, False, 0, -5, False, False, -1, West
11, 11, 4, 6, 5, 6, 12, 11, 7, 7, 1, True, True, True, False, 0, -4, False, False, -1, South
11, 10, 4, 5, 5, 5, 12, 10, 7, 7, 1, True, True, True, False, -1, -3, False, False, -1, South
10, 10, 4, 5, 5, 6, 12, 9, 7, 7, 1, True, True, True, False, -1, -3, False, False, -1, West
9, 10, 4, 5, 4, 5, 12, 9, 8, 7, 1, True, True, True, False, 0, -2, False, False, -1, West
9, 9, 4, 4, 4, 5, 12, 8, 8, 7, 1, True, True, True, False, -1, -1, False, False, -1, South
8, 9, 4, 5, 4, 6, 12, 8, 7, 7, 1, True, True, True, False, 0, -2, False, False, -1, West
8, 8, 4, 4, 4, 6, 11, 8, 7, 7, 1, True, True, True, False, 0, -1, False, False, -1, South
8, 7, 4, 4, 4, 6, 11, 5, 1, 7, 1, True, True, False, False, -2, 4, False, False, 199, South
7, 7, 4, 3, 4, 6, 11, 5, 1, 7, 1, True, True, False, False, -1, 4, False, False, -1, West
6, 7, 4, 3, 4, 6, 12, 5, 1, 7, 1, True, True, False, False, 0, 5, False, False, -1, West
6, 8, 4, 2, 4, 7, 12, 5, 1, 7, 1, True, True, False, False, 1, 4, False, False, -1, North
7, 8, 4, 1, 4, 8, 12, 5, 1, 7, 1, True, True, False, False, 1, 4, False, False, -1, East
8, 8, 4, 2, 4, 9, 12, 5, 1, 7, 1, True, True, False, False, 1, 4, False, False, -1, East
9, 8, 4, 1, 4, 10, 12, 5, 1, 7, 1, True, True, False, False, 1, 4, False, False, -1, East
10, 8, 4, 1, 3, 10, 13, 5, 1, 7, 1, True, True, False, False, 0, 5, False, False, -1, East
10, 9, 4, 1, 3, 9, 13, 5, 1, 7, 1, True, True, False, False, -1, 4, False, False, -1, North
9, 9, 4, 1, 3, 10, 13, 5, 1, 7, 1, True, True, False, False, 1, 4, False, False, -1, West
10, 9, 4, 1, 3, 10, 14, 5, 1, 7, 1, True, True, False, False, 0, 5, False, False, -1, East
10, 10, 4, 2, 3, 9, 14, 5, 1, 7, 1, True, True, False, False, -1, 4, False, False, -1, North
9, 10, 4, 3, 3, 10, 14, 5, 1, 7, 1, True, True, False, False, 1, 4, False, False, -1, West
