@relation pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute direccion_pacman {West,Stop,East,North,South}

@data
14,10,4,3,4,3,1,5,1,7,1,True,False,False,False,-11,-6,East
10,7,4,9,10,3,1,5,1,6,2,True,False,False,False,-1,3,South
6,13,4,1,1,5,8,8,5,7,1,False,True,True,False,-1,-5,South
14,10,4,4,7,7,11,11,7,14,11,True,True,True,True,0,1,East
12,9,4,4,11,4,4,11,11,17,3,True,True,True,True,-1,2,Stop
22,11,4,9,3,11,7,5,1,7,1,True,True,False,False,-11,-4,West
11,5,4,1,1,3,1,5,1,14,4,False,False,False,True,3,-1,North
20,11,4,9,3,11,7,5,1,7,1,True,True,False,False,-9,-4,West
13,7,4,11,7,9,7,10,7,10,8,True,True,True,True,-2,0,North
14,14,4,2,5,7,13,11,7,14,12,True,True,True,True,0,-2,West
18,12,4,9,3,11,7,19,12,22,9,True,True,True,True,1,0,East
11,14,4,5,11,7,11,9,9,7,1,True,True,True,False,-4,-3,West
14,10,4,3,4,3,1,5,1,7,1,True,False,False,False,-11,-6,East
12,9,4,4,11,4,5,11,10,17,3,True,True,True,True,-1,1,Stop
3,8,4,1,8,3,1,13,8,7,1,True,False,True,False,-2,0,South
12,10,4,5,6,5,12,13,6,13,12,True,True,True,True,1,2,Stop
3,14,4,5,8,3,1,13,8,7,1,True,False,True,False,2,-6,North
21,10,4,9,3,11,7,5,1,22,9,True,True,False,True,1,-1,South
16,11,4,4,9,8,13,9,7,15,14,True,True,True,True,-1,3,East
9,1,4,9,7,9,7,10,8,10,7,True,True,True,True,0,6,Stop
12,10,4,6,6,7,12,12,6,13,11,True,True,True,True,1,1,Stop
9,11,4,6,11,8,11,6,7,7,1,True,True,True,False,-1,0,South
11,12,4,9,3,11,7,19,12,22,9,True,True,True,True,0,-5,East
13,10,4,8,7,8,7,8,7,9,8,True,True,True,True,-4,-2,North
9,1,4,9,7,9,7,10,8,10,7,True,True,True,True,0,6,Stop
9,11,4,6,11,8,11,6,7,7,1,True,True,True,False,-1,0,South
13,7,4,11,7,9,7,10,7,10,8,True,True,True,True,-2,0,North
5,3,4,1,1,3,3,5,1,14,4,False,True,False,True,-2,0,East
11,1,4,11,7,10,7,9,8,11,7,True,True,True,True,0,6,East
1,8,4,1,6,3,1,5,1,7,1,True,False,False,False,0,-2,West
2,7,4,2,5,3,1,5,1,7,1,True,False,False,False,0,-2,West
12,10,4,6,6,6,12,13,6,13,12,True,True,True,True,1,2,Stop
12,12,4,4,6,6,11,12,8,13,13,True,True,True,True,1,1,North
11,3,4,4,6,3,1,5,1,7,1,True,False,False,False,-7,3,West
9,1,4,10,7,10,7,10,7,10,7,True,True,True,True,1,6,Stop
12,10,4,6,6,6,12,13,6,13,12,True,True,True,True,1,2,Stop
6,8,4,1,1,3,1,7,4,7,1,False,False,True,False,1,-4,South
11,6,4,9,3,3,1,5,1,7,1,True,False,False,False,-2,-3,South
12,10,4,6,6,7,12,12,6,13,11,True,True,True,True,1,1,Stop
15,10,4,3,4,3,1,5,1,7,1,True,False,False,False,-12,-6,East
11,10,4,5,4,3,1,5,1,7,1,True,False,False,False,-6,-6,East
12,10,4,3,6,6,12,12,5,13,12,True,True,True,True,1,2,Stop
5,3,4,1,1,3,3,5,1,14,4,False,True,False,True,-2,0,East
12,10,4,5,6,5,12,13,6,13,12,True,True,True,True,1,2,Stop
11,14,4,5,11,7,11,9,9,7,1,True,True,True,False,-4,-3,West
1,7,4,1,5,3,1,5,1,7,1,True,False,False,False,0,-2,West
13,7,4,11,7,9,7,10,7,10,8,True,True,True,True,-2,0,North
12,9,4,4,11,4,5,11,10,17,3,True,True,True,True,-1,1,Stop
1,3,4,1,1,3,1,5,1,13,3,False,False,False,True,12,0,West
21,10,4,9,3,11,7,5,1,22,9,True,True,False,True,1,-1,South
3,6,4,1,6,3,1,5,1,7,1,True,False,False,False,-2,0,North
6,10,4,4,4,3,1,9,10,7,1,True,False,True,False,3,0,East
4,6,4,1,8,3,1,5,1,7,1,True,False,False,False,-3,2,South
6,9,4,5,8,8,11,4,9,7,1,True,True,True,False,-1,-1,North
3,3,4,1,1,1,3,5,1,14,4,False,True,False,True,-2,0,South
1,6,4,2,6,3,1,5,1,7,1,True,False,False,False,1,0,South
11,14,4,5,11,7,11,9,9,7,1,True,True,True,False,-4,-3,West
12,10,4,6,6,6,12,13,6,13,12,True,True,True,True,1,2,Stop
9,1,4,10,7,10,7,10,7,10,7,True,True,True,True,1,6,Stop
6,5,4,1,1,3,1,7,3,7,1,False,False,True,False,1,-2,South
13,6,4,10,7,10,7,11,7,10,9,True,True,True,True,-2,1,North
9,13,4,5,6,3,1,12,6,7,1,True,False,True,False,3,-7,North
2,9,4,3,6,3,1,11,10,7,1,True,False,True,False,1,-3,South
15,14,4,6,10,7,12,10,7,7,1,True,True,True,False,-8,-2,North
6,12,4,1,1,6,8,8,6,7,1,False,True,True,False,0,-4,South
12,9,4,3,11,3,5,11,11,17,4,True,True,True,True,-1,2,Stop
13,7,4,11,7,9,7,10,7,10,8,True,True,True,True,-2,0,North
16,12,4,4,7,6,12,10,6,11,12,True,True,True,True,-5,0,North
15,13,4,6,8,7,12,10,7,7,1,True,True,True,False,-8,-1,North
18,12,4,9,3,11,7,19,12,22,9,True,True,True,True,1,0,East
3,8,4,4,9,3,1,13,8,7,1,True,False,True,False,1,1,North
13,14,4,4,7,6,12,11,5,6,12,True,True,True,True,-7,-2,West
12,9,4,3,11,3,5,11,11,17,4,True,True,True,True,-1,2,Stop
9,1,4,9,7,9,7,10,8,10,7,True,True,True,True,0,6,Stop
9,13,4,5,6,3,1,12,6,7,1,True,False,True,False,3,-7,North
1,7,4,1,5,3,1,5,1,7,1,True,False,False,False,0,-2,West
12,10,4,3,6,5,12,12,4,12,12,True,True,True,True,0,2,Stop
6,13,4,1,1,6,9,8,6,7,1,False,True,True,False,0,-4,West
11,4,4,1,1,3,1,5,1,14,4,False,False,False,True,3,0,North
16,11,4,4,7,7,12,10,6,12,12,True,True,True,True,-4,1,North
4,5,4,2,6,3,1,5,1,7,1,True,False,False,False,-2,1,North
21,11,4,9,3,11,7,5,1,22,9,True,True,False,True,1,-2,South
9,12,4,6,10,8,11,5,7,7,1,True,True,True,False,-1,-1,East
21,11,4,9,3,11,7,5,1,22,9,True,True,False,True,1,-2,South
7,9,4,4,13,4,6,5,1,15,3,True,True,False,True,-3,-3,West
8,12,4,6,13,7,10,7,7,7,1,True,True,True,False,-2,1,North
12,9,4,4,11,4,4,11,11,17,3,True,True,True,True,-1,2,Stop
11,5,4,1,1,3,1,5,1,14,4,False,False,False,True,3,-1,North
5,12,4,3,10,4,6,5,1,18,4,True,True,False,True,-2,-2,South
3,3,4,1,1,1,3,5,1,14,3,False,True,False,True,-2,0,South
13,12,4,9,3,11,7,19,12,22,9,True,True,True,True,6,0,East
16,12,4,4,7,6,12,10,6,11,12,True,True,True,True,-5,0,North
11,10,4,9,3,11,7,5,1,7,1,True,True,False,False,0,-3,South
5,9,4,3,6,3,1,8,10,7,1,True,False,True,False,3,1,East
14,11,4,4,8,6,13,10,8,15,12,True,True,True,True,1,1,East
15,13,4,6,8,7,12,10,7,7,1,True,True,True,False,-8,-1,North
5,5,4,1,1,2,3,5,1,17,4,False,True,False,True,-3,-2,South
5,9,4,4,7,3,1,10,10,7,1,True,False,True,False,-1,-2,East
6,13,4,1,1,5,8,8,5,7,1,False,True,True,False,-1,-5,South
3,11,4,3,7,3,1,12,8,7,1,True,False,True,False,0,-4,South
16,12,4,4,7,6,12,10,6,11,12,True,True,True,True,-5,0,North
12,10,4,3,6,5,12,12,4,12,12,True,True,True,True,0,2,Stop
16,11,4,4,7,7,12,10,6,12,12,True,True,True,True,-4,1,North
6,3,4,4,7,3,1,5,1,7,1,True,False,False,False,-2,4,West
12,10,4,4,6,6,12,13,5,13,12,True,True,True,True,1,2,Stop
1,5,4,2,5,3,1,5,1,7,1,True,False,False,False,1,0,South
11,11,4,9,8,9,9,7,7,9,10,True,True,True,True,-2,-1,West
14,12,4,9,3,11,7,19,12,22,9,True,True,True,True,5,0,East
11,6,4,9,3,3,1,5,1,7,1,True,False,False,False,-2,-3,South
11,14,4,4,5,6,12,11,6,5,12,True,True,True,True,-5,-2,West
12,11,4,4,7,6,11,12,8,14,13,True,True,True,True,0,-3,North
16,11,4,4,7,7,12,10,6,12,12,True,True,True,True,-4,1,North
3,7,4,3,9,3,1,13,8,7,1,True,False,True,False,0,2,North
9,9,4,4,12,4,5,5,1,15,3,True,True,False,True,-5,3,West
9,3,4,1,1,3,1,5,1,13,5,False,False,False,True,4,2,East
12,10,4,6,6,7,12,12,6,13,11,True,True,True,True,1,1,Stop
5,9,4,3,7,3,1,9,10,7,1,True,False,True,False,-2,-2,East
7,9,4,6,10,9,12,4,9,7,1,True,True,True,False,-1,1,South
8,13,4,5,6,3,1,12,5,7,1,True,False,True,False,-3,-7,West
7,9,4,6,10,9,12,4,9,7,1,True,True,True,False,-1,1,South
3,6,4,1,6,3,1,5,1,7,1,True,False,False,False,-2,0,North
11,3,4,9,3,3,1,5,1,7,1,True,False,False,False,-2,0,South
16,13,4,3,5,6,12,11,6,14,13,True,True,True,True,-2,0,North
16,14,4,4,7,5,12,11,6,10,12,True,True,True,True,-6,-2,North
3,7,4,1,6,3,1,5,1,7,1,True,False,False,False,-2,-1,East
5,8,4,1,1,4,3,5,1,18,3,False,True,False,True,-1,-5,South
12,9,4,3,11,3,5,11,11,17,4,True,True,True,True,-1,2,Stop
12,10,4,5,6,5,12,13,6,13,12,True,True,True,True,1,2,Stop
16,11,4,9,3,11,7,5,1,7,1,True,True,False,False,-5,-4,West
7,3,4,1,1,3,1,5,1,14,5,False,False,False,True,7,2,East
5,5,4,1,1,2,3,5,1,17,4,False,True,False,True,-3,-2,South
9,9,4,6,11,8,11,5,7,7,1,True,True,True,False,-1,2,South
3,11,4,3,7,3,1,12,8,7,1,True,False,True,False,0,-4,South
4,12,4,9,3,11,7,19,12,22,9,True,True,True,True,7,-5,Stop
6,12,4,1,1,6,8,8,6,7,1,False,True,True,False,0,-4,South
6,12,4,6,9,8,12,5,9,7,1,True,True,True,False,2,0,North
14,12,4,9,3,11,7,19,12,22,9,True,True,True,True,5,0,East
2,10,4,3,7,3,1,12,10,7,1,True,False,True,False,1,-3,South
4,5,4,2,6,3,1,5,1,7,1,True,False,False,False,-2,1,North
14,10,4,4,6,6,12,11,5,13,12,True,True,True,True,-1,2,East
6,10,4,4,4,3,1,9,10,7,1,True,False,True,False,3,0,East
