@relation pacman.pract1-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L2-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute muro_x {True,False}
@attribute muro_y {True,False}
@attribute direccion_pacman {West,Stop,East,North,South}

@data
13,6,4,1,1,3,1,14,11,7,1,False,False,True,False,1,5,False,False,East
10,3,4,1,1,3,1,19,12,22,9,False,False,True,True,9,9,False,False,East
11,11,4,6,6,6,12,15,5,10,12,True,True,True,True,-1,1,False,False,West
7,11,4,7,6,7,9,11,5,7,1,True,True,True,False,0,-2,False,False,South
9,5,4,9,3,3,1,19,12,22,9,True,False,True,True,0,-2,False,False,South
7,11,4,3,1,1,4,9,11,10,1,False,True,True,False,2,0,False,False,East
13,11,4,6,7,5,12,13,5,13,12,True,True,True,True,0,1,False,False,North
14,7,4,2,11,4,5,5,1,14,3,True,True,False,True,0,-4,False,False,South
3,3,4,6,9,2,4,5,1,7,1,True,True,False,False,-1,1,False,False,West
9,6,4,3,11,5,5,5,1,7,1,True,True,False,False,-4,-1,True,False,West
7,10,4,7,6,7,8,11,6,7,1,True,True,True,False,0,-2,False,False,South
9,6,4,6,7,6,7,5,1,7,1,True,True,False,False,-3,1,True,False,North
15,12,4,1,1,3,1,15,14,7,1,False,False,True,False,0,2,False,False,West
19,9,4,1,1,3,1,19,12,22,9,False,False,True,True,0,3,False,False,North
9,6,4,7,9,6,6,5,1,7,1,True,True,False,False,-3,0,True,False,West
15,12,4,1,1,3,1,15,14,7,1,False,False,True,False,0,2,False,False,West
9,5,4,1,13,5,7,5,1,7,1,True,True,False,False,-4,2,True,False,West
7,6,4,1,1,3,1,5,1,14,6,False,False,False,True,7,0,True,False,North
4,3,4,3,11,3,1,5,1,7,1,True,False,False,False,-1,8,False,True,West
15,6,4,2,10,3,4,5,1,15,4,True,True,False,True,0,-2,False,True,West
13,4,4,1,12,5,6,5,1,7,1,True,True,False,False,-8,2,True,False,West
6,9,4,2,13,5,7,5,1,17,3,True,True,False,True,-1,-2,False,False,West
9,13,4,6,12,7,7,5,1,18,3,True,True,False,True,-3,-1,True,False,North
6,11,4,2,1,1,3,10,11,9,1,False,True,True,False,4,0,False,False,North
15,6,4,3,11,4,5,5,1,15,3,True,True,False,True,0,-3,False,True,West
16,6,4,1,11,3,4,5,1,16,3,True,True,False,True,0,-3,False,True,East
5,7,4,6,10,3,1,5,1,7,1,True,False,False,False,1,3,False,False,East
9,3,4,1,1,3,1,19,12,22,9,False,False,True,True,10,9,False,False,South
14,6,4,1,11,3,5,5,1,15,3,True,True,False,True,1,-3,False,False,South
6,5,4,6,7,1,5,9,8,9,7,True,True,True,True,0,2,False,False,East
16,6,4,2,10,4,4,5,1,15,4,True,True,False,True,-1,-2,False,True,East
4,10,4,1,1,5,3,5,1,14,4,False,True,False,True,1,-7,False,True,South
4,3,4,5,11,3,1,5,1,7,1,True,False,False,False,1,8,False,True,West
6,6,4,6,8,1,5,10,8,8,7,True,True,True,True,0,2,False,False,North
7,7,4,8,4,3,1,12,8,7,1,True,False,True,False,1,-3,False,False,South
8,12,4,8,6,6,10,11,5,7,1,True,True,True,False,-2,-2,False,False,West
9,5,4,6,9,6,6,5,1,7,1,True,True,False,False,-3,1,True,False,South
11,8,4,11,7,3,1,13,3,7,1,True,False,True,False,0,-1,False,False,South
3,5,4,1,1,4,4,5,1,13,7,False,True,False,True,1,-1,False,False,South
16,12,4,1,1,3,1,15,13,7,1,False,False,True,False,-1,1,False,False,North
9,6,4,4,11,5,7,5,1,7,1,True,True,False,False,-4,1,True,False,North
9,11,4,2,12,8,8,5,1,18,3,True,True,False,True,-1,-3,False,False,South
12,10,4,5,12,4,5,5,1,16,4,True,True,False,True,-7,2,True,False,North
9,5,4,3,10,3,6,5,1,7,1,True,True,False,False,-6,1,True,False,South
19,6,4,1,1,3,1,19,12,22,9,False,False,True,True,0,6,False,False,North
4,7,4,4,12,3,1,5,1,17,3,True,False,False,True,0,5,False,True,West
8,3,4,7,10,3,1,5,1,7,1,True,False,False,False,-1,7,False,True,East
6,5,4,6,9,10,7,10,8,10,9,True,True,True,True,0,4,False,False,North
9,6,4,6,7,6,7,5,1,7,1,True,True,False,False,-3,1,True,False,North
7,3,4,7,10,3,1,5,1,7,1,True,False,False,False,0,7,False,True,West
9,12,4,9,3,11,7,19,12,22,9,True,True,True,True,2,-5,False,False,East
8,9,4,9,5,3,1,12,5,7,1,True,False,True,False,1,-4,False,False,South
6,5,4,6,9,10,7,10,8,10,9,True,True,True,True,0,4,False,False,North
11,8,4,9,3,11,7,19,12,22,9,True,True,True,True,0,-1,False,False,South
6,10,4,6,13,3,1,5,1,17,4,True,False,False,True,0,3,False,False,East
16,3,4,1,1,3,1,19,12,22,9,False,False,True,True,3,9,False,False,East
14,6,4,1,11,3,5,5,1,15,3,True,True,False,True,1,-3,False,False,South
15,6,4,1,1,3,1,16,11,7,1,False,False,True,False,1,5,False,False,East
11,10,4,9,3,11,7,19,12,22,9,True,True,True,True,0,-3,False,False,South
9,6,4,9,3,3,1,19,12,22,9,True,False,True,True,0,-3,False,False,South
11,9,4,9,3,11,7,19,12,22,9,True,True,True,True,0,-2,False,False,South
11,5,4,1,1,3,1,11,7,7,1,False,False,True,False,0,2,False,False,North
19,12,4,1,1,3,1,5,1,22,9,False,False,False,True,3,-3,False,False,North
9,5,4,4,10,6,5,5,1,7,1,True,True,False,False,-3,0,True,False,West
19,5,4,1,1,3,1,19,12,22,9,False,False,True,True,0,7,False,False,North
6,7,4,6,9,1,6,10,8,7,7,True,True,True,True,1,0,False,False,North
15,12,4,1,1,3,1,15,14,7,1,False,False,True,False,0,2,False,False,West
16,7,4,3,11,2,5,5,1,16,4,True,True,False,True,0,-3,False,True,East
12,11,4,7,6,6,12,14,6,7,1,True,True,True,False,-6,1,False,False,West
7,12,4,1,1,3,1,5,1,15,4,False,False,False,True,8,-8,True,False,North
9,5,4,6,9,6,6,5,1,7,1,True,True,False,False,-3,1,True,False,South
7,8,4,1,1,3,1,5,1,13,9,False,False,False,True,6,1,False,False,North
9,7,4,9,5,3,1,13,6,7,1,True,False,True,False,0,-2,False,False,South
11,11,4,9,3,11,7,19,12,22,9,True,True,True,True,0,-4,False,False,South
9,6,4,9,3,3,1,19,12,22,9,True,False,True,True,0,-3,False,False,South
9,5,4,5,10,5,6,5,1,7,1,True,True,False,False,-4,1,True,False,South
6,11,4,7,4,2,12,13,3,7,1,True,True,True,False,-4,1,False,False,West
11,9,4,9,3,11,7,19,12,22,9,True,True,True,True,0,-2,False,False,South
7,1,4,6,7,9,7,9,8,9,7,True,True,True,True,-1,6,False,True,West
9,6,4,7,9,6,6,5,1,7,1,True,True,False,False,-3,0,True,False,West
9,6,4,4,11,5,7,5,1,7,1,True,True,False,False,-4,1,True,False,North
11,3,4,1,1,3,1,19,12,22,9,False,False,True,True,8,9,False,False,East
6,3,4,6,10,3,1,5,1,7,1,True,False,False,False,0,7,False,True,East
11,8,4,1,1,3,1,5,1,13,8,False,False,False,True,2,0,False,False,East
5,5,4,1,1,3,1,5,1,14,7,False,False,False,True,9,2,True,False,East
11,11,4,6,6,6,12,15,5,10,12,True,True,True,True,-1,1,False,False,West
19,5,4,1,1,3,1,19,12,22,9,False,False,True,True,0,7,False,False,North
11,7,4,9,3,3,1,19,12,22,9,True,False,True,True,-2,-4,False,False,South
16,6,4,4,11,3,5,5,1,15,4,True,True,False,True,-1,-2,False,True,South
9,11,4,7,13,7,8,5,1,17,3,True,True,False,True,-2,2,True,False,South
17,3,4,1,1,3,1,19,12,22,9,False,False,True,True,2,9,False,False,East
8,1,4,7,7,10,7,9,8,9,7,True,True,True,True,-1,6,False,True,West
6,2,4,6,8,10,7,9,8,9,7,True,True,True,True,0,6,False,False,North
16,3,4,1,1,3,1,19,12,22,9,False,False,True,True,3,9,False,False,East
19,11,4,1,1,3,1,19,12,22,9,False,False,True,True,0,1,False,False,North
5,3,4,7,11,3,1,5,1,7,1,True,False,False,False,2,8,False,True,West
11,6,4,1,1,3,1,14,11,7,1,False,False,True,False,3,5,False,False,East
9,13,4,5,13,8,9,5,1,17,3,True,True,False,True,-4,0,True,False,North
14,3,4,1,1,3,1,19,12,22,9,False,False,True,True,5,9,False,False,East
6,7,4,1,1,7,7,10,8,10,9,False,True,True,True,1,0,False,False,South
4,9,4,1,1,1,2,6,2,11,1,False,True,False,False,-3,-7,True,True,West
18,3,4,1,1,3,1,19,12,22,9,False,False,True,True,1,9,False,False,East
14,12,4,6,7,5,11,13,4,7,1,True,True,True,False,-1,-8,False,False,South
7,11,4,3,1,1,4,9,11,10,1,False,True,True,False,2,0,False,False,East
4,5,4,1,1,3,1,5,1,14,8,False,False,False,True,10,3,True,False,North
4,11,4,1,1,4,3,5,1,15,4,False,True,False,True,0,-8,False,True,North
6,3,4,6,9,3,1,5,1,7,1,True,False,False,False,0,6,False,True,West
10,8,4,1,1,3,1,5,1,13,9,False,False,False,True,3,1,False,False,East
16,7,4,1,1,3,1,16,12,7,1,False,False,True,False,0,5,False,False,North
2,11,4,8,6,2,12,14,3,7,1,True,True,True,False,0,1,False,False,West
16,9,4,1,1,3,1,16,14,7,1,False,False,True,False,0,5,False,False,North
7,7,4,1,1,3,1,5,1,14,6,False,False,False,True,7,-1,True,False,North
8,11,4,2,1,1,3,6,2,10,1,False,True,False,False,-7,-8,True,True,West
19,10,4,1,1,3,1,19,12,22,9,False,False,True,True,0,2,False,False,North
10,12,4,2,12,4,3,5,1,15,4,True,True,False,True,-8,0,True,False,East
