@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute muro_x {True,False}
@attribute muro_y {True,False}
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
12, 9, 4, 4, 12, 5, 5, 13, 11, 17, 4, True, True, True, True, 1, 2, False, False, 0, Stop
12, 9, 4, 4, 11, 5, 5, 13, 11, 17, 4, True, True, True, True, 1, 2, False, False, -1, Stop
12, 9, 4, 4, 11, 6, 5, 14, 11, 16, 4, True, True, True, True, 2, 2, False, False, -1, Stop
12, 9, 4, 4, 10, 6, 6, 14, 11, 17, 4, True, True, True, True, 2, 2, False, False, -1, Stop
13, 9, 4, 3, 10, 5, 6, 13, 11, 17, 4, True, True, True, True, 0, 2, False, False, -1, East
14, 9, 4, 4, 10, 4, 6, 13, 10, 17, 3, True, True, True, True, -1, 1, False, False, -1, East
14, 9, 4, 4, 10, 4, 6, 12, 10, 16, 3, True, True, True, True, -2, 1, False, False, -1, East
14, 9, 4, 5, 10, 4, 6, 13, 10, 17, 3, True, True, True, True, -1, 1, False, False, -1, East
14, 9, 4, 6, 10, 4, 5, 13, 11, 16, 3, True, True, True, True, -1, 2, False, False, -1, East
13, 9, 4, 6, 10, 4, 6, 12, 11, 16, 4, True, True, True, True, -1, 2, False, False, -1, West
12, 9, 4, 7, 10, 5, 6, 11, 11, 16, 3, True, True, True, True, -1, 2, False, False, -1, West
11, 9, 4, 6, 10, 4, 6, 11, 12, 16, 4, True, True, True, True, 0, 3, False, False, -1, West
11, 10, 4, 6, 10, 4, 5, 11, 13, 16, 3, True, True, True, True, 0, 3, False, False, -1, North
11, 11, 4, 6, 11, 4, 6, 12, 13, 15, 3, True, True, True, True, 1, 2, False, False, -1, North
11, 12, 4, 7, 11, 4, 6, 11, 13, 15, 4, True, True, True, True, 0, 1, False, False, -1, North
11, 13, 4, 7, 11, 5, 6, 5, 1, 15, 3, True, True, False, True, -4, -2, True, False, 199, North
11, 13, 4, 7, 11, 5, 6, 5, 1, 15, 3, True, True, False, True, -4, -2, True, False, -1, North
10, 13, 4, 6, 11, 6, 6, 5, 1, 15, 3, True, True, False, True, -4, -2, True, False, -1, West
10, 12, 4, 7, 11, 5, 6, 5, 1, 15, 3, True, True, False, True, -3, -1, True, False, -1, South
10, 11, 4, 7, 11, 4, 6, 5, 1, 15, 3, True, True, False, True, -3, 0, True, False, -1, South
10, 10, 4, 7, 10, 4, 7, 5, 1, 16, 3, True, True, False, True, -3, 0, True, False, -1, South
10, 9, 4, 6, 10, 5, 7, 5, 1, 16, 3, True, True, False, True, -4, 1, False, False, -1, South
10, 8, 4, 7, 10, 4, 7, 5, 1, 17, 3, True, True, False, True, -3, 2, False, False, -1, South
9, 8, 4, 7, 9, 4, 6, 5, 1, 16, 3, True, True, False, True, -2, 1, False, False, -1, West
8, 8, 4, 6, 9, 3, 6, 5, 1, 17, 3, True, True, False, True, -2, 1, False, False, -1, West
7, 8, 4, 6, 9, 3, 5, 5, 1, 16, 3, True, True, False, True, -1, 1, False, False, -1, West
7, 9, 4, 6, 10, 3, 4, 5, 1, 16, 3, True, True, False, True, -1, 1, False, False, -1, North
7, 10, 4, 6, 10, 3, 3, 5, 1, 16, 4, True, True, False, True, -1, 0, False, False, -1, North
7, 11, 4, 5, 10, 3, 3, 5, 1, 16, 4, True, True, False, True, -2, -1, False, False, -1, North
7, 12, 4, 5, 10, 2, 3, 5, 1, 17, 4, True, True, False, True, -2, -2, False, False, -1, North
7, 13, 4, 6, 10, 2, 4, 5, 1, 16, 4, True, True, False, True, -1, -3, False, False, -1, North
6, 13, 4, 7, 10, 2, 3, 5, 1, 17, 4, True, True, False, True, 1, -3, False, False, -1, West
5, 13, 4, 6, 10, 1, 3, 5, 1, 16, 4, True, True, False, True, 1, -3, False, False, -1, West
5, 12, 4, 5, 10, 2, 3, 5, 1, 16, 4, True, True, False, True, 0, -2, False, False, -1, South
5, 11, 4, 5, 9, 3, 3, 5, 1, 16, 4, True, True, False, True, 0, -2, False, False, -1, South
5, 10, 4, 5, 8, 2, 3, 5, 1, 16, 3, True, True, False, True, 0, -2, False, False, -1, South
5, 9, 4, 5, 7, 2, 4, 5, 1, 15, 3, True, True, False, True, 0, -2, False, False, -1, South
5, 8, 4, 5, 6, 3, 4, 5, 1, 15, 4, True, True, False, True, 0, -2, False, False, -1, South
5, 7, 4, 5, 6, 4, 4, 5, 1, 14, 4, True, True, False, True, 0, -1, False, False, -1, South
5, 6, 4, 1, 1, 4, 5, 5, 1, 14, 5, False, True, False, True, -1, -1, False, False, 199, South
5, 5, 4, 1, 1, 4, 6, 5, 1, 13, 5, False, True, False, True, -1, 1, False, False, -1, South
5, 5, 4, 1, 1, 5, 6, 5, 1, 12, 5, False, True, False, True, 0, 1, False, False, -1, South
4, 5, 4, 1, 1, 4, 6, 5, 1, 13, 5, False, True, False, True, 0, 1, False, False, -1, West
3, 5, 4, 1, 1, 3, 6, 5, 1, 13, 4, False, True, False, True, 0, 1, False, False, -1, West
2, 5, 4, 1, 1, 3, 5, 5, 1, 13, 3, False, True, False, True, 1, 0, False, False, -1, West
