@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute muro_x {True,False}
@attribute muro_y {True,False}
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
12, 9, 4, 4, 12, 5, 5, 13, 11, 17, 4, True, True, True, True, 1, 2, False, False, 0, Stop
13, 9, 4, 5, 12, 5, 6, 12, 11, 17, 4, True, True, True, True, -1, 2, False, False, -1, East
12, 9, 4, 5, 13, 4, 6, 12, 10, 16, 4, True, True, True, True, 0, 1, False, False, -1, West
12, 10, 4, 5, 12, 4, 5, 5, 1, 16, 4, True, True, False, True, -7, 2, True, False, 199, North
11, 10, 4, 5, 11, 4, 6, 5, 1, 15, 4, True, True, False, True, -6, 1, True, False, -1, West
10, 10, 4, 4, 11, 5, 6, 5, 1, 15, 3, True, True, False, True, -6, 1, True, False, -1, West
9, 10, 4, 4, 11, 5, 5, 5, 1, 15, 3, True, True, False, True, -5, 1, True, False, -1, West
9, 11, 4, 5, 11, 5, 6, 5, 1, 16, 3, True, True, False, True, -4, 0, True, False, -1, North
9, 10, 4, 5, 11, 5, 5, 5, 1, 17, 3, True, True, False, True, -4, 1, True, False, -1, South
9, 11, 4, 5, 11, 4, 5, 5, 1, 17, 3, True, True, False, True, -4, 0, True, False, -1, North
9, 12, 4, 6, 11, 5, 5, 5, 1, 17, 3, True, True, False, True, -3, -1, True, False, -1, North
9, 11, 4, 5, 11, 6, 5, 5, 1, 17, 3, True, True, False, True, -4, 0, True, False, -1, South
10, 11, 4, 4, 11, 6, 5, 5, 1, 17, 4, True, True, False, True, -6, 0, True, False, -1, East
9, 11, 4, 5, 11, 7, 5, 5, 1, 17, 4, True, True, False, True, -4, 0, True, False, -1, West
9, 10, 4, 5, 12, 6, 5, 5, 1, 18, 4, True, True, False, True, -4, 2, True, False, -1, South
9, 11, 4, 5, 11, 7, 5, 5, 1, 18, 3, True, True, False, True, -4, 0, True, False, -1, North
9, 12, 4, 5, 12, 7, 6, 5, 1, 17, 3, True, True, False, True, -4, 0, True, False, -1, North
9, 13, 4, 6, 12, 7, 7, 5, 1, 18, 3, True, True, False, True, -3, -1, True, False, -1, North
9, 12, 4, 7, 12, 7, 8, 5, 1, 18, 3, True, True, False, True, -2, 0, True, False, -1, South
9, 11, 4, 7, 13, 7, 8, 5, 1, 17, 3, True, True, False, True, -2, 2, True, False, -1, South
9, 12, 4, 6, 13, 7, 9, 5, 1, 16, 3, True, True, False, True, -3, 1, True, False, -1, North
9, 13, 4, 6, 12, 7, 9, 5, 1, 17, 3, True, True, False, True, -3, -1, True, False, -1, North
9, 12, 4, 5, 12, 8, 9, 5, 1, 17, 3, True, True, False, True, -4, 0, True, False, -1, South
9, 13, 4, 5, 13, 8, 9, 5, 1, 17, 3, True, True, False, True, -4, 0, True, False, -1, North
10, 13, 4, 4, 13, 8, 9, 5, 1, 17, 3, True, True, False, True, -6, 0, True, False, -1, East
9, 13, 4, 4, 12, 8, 9, 5, 1, 17, 3, True, True, False, True, -1, -4, False, False, -1, West
9, 12, 4, 3, 12, 8, 9, 5, 1, 17, 3, True, True, False, True, -1, -3, False, False, -1, South
9, 11, 4, 2, 12, 8, 8, 5, 1, 18, 3, True, True, False, True, -1, -3, False, False, -1, South
9, 10, 4, 2, 12, 8, 8, 5, 1, 17, 3, True, True, False, True, -1, -2, False, False, -1, South
9, 9, 4, 2, 12, 7, 8, 5, 1, 17, 4, True, True, False, True, -2, -1, False, False, -1, South
8, 9, 4, 3, 12, 6, 8, 5, 1, 16, 4, True, True, False, True, -2, -1, False, False, -1, West
7, 9, 4, 3, 13, 5, 8, 5, 1, 17, 4, True, True, False, True, -2, -1, False, False, -1, West
6, 9, 4, 2, 13, 5, 7, 5, 1, 17, 3, True, True, False, True, -1, -2, False, False, -1, West
