
((12, 10), [(5, 6), (5, 12), (13, 6), (13, 12)], (1, 2))
((11, 10), [(5, 6), (5, 12), (13, 6), (13, 12)], (2, 2))
((11, 9), [(5, 6), (5, 12), (13, 6), (13, 12)], (2, -3))
((10, 9), [(5, 6), (5, 12), (13, 6), (13, 12)], (3, -3))
((11, 9), [(5, 6), (5, 12), (13, 6), (13, 12)], (2, -3))
((12, 9), [(5, 6), (5, 12), (13, 6), (13, 12)], (1, -3))
((13, 9), [(5, 6), (5, 12), (13, 6), (13, 12)], (0, -3))
((13, 8), [(5, 6), (5, 12), (13, 6), (13, 12)], (0, -2))
((14, 8), [(5, 6), (5, 12), (13, 6), (13, 12)], (-1, -2))
((15, 8), [(5, 6), (5, 12), (13, 6), (13, 12)], (-2, -2))
((16, 8), [(5, 6), (5, 12), (13, 6), (13, 12)], (-3, -2))
((16, 7), [(5, 6), (5, 12), (13, 6), (13, 12)], (-3, -1))
((15, 7), [(5, 6), (5, 12), (13, 6), (13, 12)], (-2, -1))
((15, 8), [(5, 6), (5, 12), (13, 6), (13, 12)], (-2, -2))
((15, 9), [(5, 6), (5, 12), (13, 6), (13, 12)], (-2, -3))
((15, 8), [(5, 6), (5, 12), (13, 6), (13, 12)], (-2, -2))
((14, 8), [(5, 6), (5, 12), (13, 6), (13, 12)], (-1, -2))
((13, 8), [(5, 6), (5, 12), (13, 6), (13, 12)], (0, -2))
((13, 9), [(5, 6), (5, 12), (13, 6), (13, 12)], (0, -3))
((14, 9), [(5, 6), (5, 12), (13, 6), (13, 12)], (-1, -3))
