@relation InstanceResultListener

@attribute Key_Dataset {pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-M 2 -C 0.25 -Q 1',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 50\nSize of the tree: 99\n','Number of rules: 52\n','Number of rules: 44\n','Number of rules: 49\n','Number of rules: 48\n','Number of rules: 45\n','Number of rules: 51\n','Number of rules: 42\n','Number of rules: 46\n','Number of rules: 47\n','Number of rules: 50\n','Number of rules: 53\n','Number of rules: 39\n','Number of rules: 43\n','Number of rules: 54\n','Number of rules: 30\n','Number of rules: 28\n','Number of rules: 29\n','Number of rules: 25\n','Number of rules: 26\n','Number of rules: 32\n','Number of rules: 31\n','Number of rules: 33\n','Number of rules: 35\n','Number of rules: 27\n','Number of rules: 37\n','Number of rules: 36\n','Number of rules: 34\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,23,15,0,60.526316,39.473684,0,0.484163,0.150876,0.342959,49.008671,87.600411,82.616388,7537.841937,-7455.225549,2.174115,198.364261,-196.190146,47.827151,1.258609,2168.705746,0.636364,7,0.185185,5,0.814815,22,0.363636,4,0.583333,0.636364,0.608696,0.792929,0.605263,0.122374,0.877626,0.394737,0.642544,0.605263,0.602677,0.835726,0.003,0,0,0,35229,61532,9978,'Number of leaves: 64\nSize of the tree: 127\n',127,64,64
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,22,16,0,57.894737,42.105263,0,0.445255,0.172994,0.38144,56.193177,97.429447,82.616388,12898.389525,-12815.773137,2.174115,339.431303,-337.257188,42.421042,1.116343,1923.567602,0.818182,9,0.259259,7,0.740741,20,0.181818,2,0.5625,0.818182,0.666667,0.813131,0.578947,0.142124,0.857876,0.421053,0.578242,0.578947,0.566754,0.75075,0.003,0,0,0,36672,61532,9978,'Number of leaves: 67\nSize of the tree: 133\n',133,67,67
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,27,11,0,71.052632,28.947368,0,0.617216,0.149181,0.33163,48.458115,84.70678,82.616388,9676.942337,-9594.32595,2.174115,254.656377,-252.482262,48.623345,1.279562,2204.808893,0.727273,8,0.148148,4,0.851852,23,0.272727,3,0.666667,0.727273,0.695652,0.765993,0.710526,0.098306,0.901694,0.289474,0.753458,0.710526,0.705568,0.801636,0.003,0,0.01,0,33305,61532,9978,'Number of leaves: 60\nSize of the tree: 119\n',119,60,60
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,23,15,0,60.526316,39.473684,0,0.481818,0.162915,0.371985,52.723584,94.619163,84.126176,10755.241199,-10671.115022,2.213847,283.032663,-280.818816,44.806201,1.179111,2035.774144,0.727273,8,0.259259,7,0.740741,20,0.272727,3,0.533333,0.727273,0.615385,0.806397,0.605263,0.131784,0.868216,0.394737,0.62807,0.605263,0.604343,0.787265,0.003,0,0,0,35710,61532,9978,'Number of leaves: 65\nSize of the tree: 129\n',129,65,65
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,29,8,0,78.378378,21.621622,0,0.721805,0.09764,0.25932,31.480403,65.684235,82.742535,4307.511965,-4224.76943,2.236285,116.419242,-114.182958,61.698407,1.667525,2806.3541,0.8,8,0.111111,3,0.888889,24,0.2,2,0.727273,0.8,0.761905,0.911111,0.783784,0.066323,0.933677,0.216216,0.791155,0.783784,0.7861,0.907527,0.003,0,0,0,33305,61705,9805,'Number of leaves: 60\nSize of the tree: 119\n',119,60,60
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,25,12,0,67.567568,32.432432,0,0.585047,0.150876,0.333345,48.644106,84.434148,82.742535,4325.222297,-4242.479761,2.236285,116.8979,-114.661615,47.986972,1.296945,2182.689008,0.6,6,0.074074,2,0.925926,25,0.4,4,0.75,0.6,0.666667,0.814815,0.675676,0.088603,0.911397,0.324324,0.68291,0.675676,0.670624,0.859743,0.004,0,0.01,0,31862,61705,9805,'Number of leaves: 57\nSize of the tree: 113\n',113,57,57
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,24,13,0,64.864865,35.135135,0,0.53883,0.158335,0.361073,51.048885,91.457476,82.742535,8613.794112,-8531.051577,2.236285,232.805246,-230.568962,43.452226,1.174384,1976.425963,1,10,0.148148,4,0.851852,23,0,0,0.714286,1,0.833333,0.909259,0.648649,0.111,0.889,0.351351,0.655844,0.648649,0.624652,0.790279,0.003,0,0,0,33305,61705,9805,'Number of leaves: 60\nSize of the tree: 119\n',119,60,60
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,22,15,0,59.459459,40.540541,0,0.472433,0.166458,0.342497,53.992577,87.340028,80.760991,5397.382349,-5316.621358,2.182729,145.875199,-143.692469,44.651204,1.206789,2025.638451,0.7,7,0.111111,3,0.888889,24,0.3,3,0.7,0.7,0.7,0.866667,0.594595,0.125465,0.874535,0.405405,0.590476,0.594595,0.58706,0.83157,0.003,0,0.01,0,33305,61705,9805,'Number of leaves: 60\nSize of the tree: 119\n',119,60,60
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,24,13,0,64.864865,35.135135,0,0.538388,0.14832,0.334329,48.109183,85.25725,80.760991,6465.749347,-6384.988356,2.182729,174.749982,-172.567253,46.664391,1.2612,2116.968317,0.7,7,0.185185,5,0.814815,22,0.3,3,0.583333,0.7,0.636364,0.827778,0.648649,0.117614,0.882386,0.351351,0.663449,0.648649,0.649468,0.833053,0.003,0,0,0,30900,61705,9805,'Number of leaves: 55\nSize of the tree: 109\n',109,55,55
